"id","name","parent_id","icon"
"6884c473-bc06-4fbc-8402-e232d0612caa","Transfer From Crypto Broker","6f3c0913-e39f-4446-acdd-17db8aeb7baf","🔁"
"ce153416-fd8c-47fe-adc6-aabe17df2052","Transfer From Investment App","6f3c0913-e39f-4446-acdd-17db8aeb7baf","🔁"
"3316d691-09de-494a-8a56-c84f7d76ae3b","Transfer From Stock Broker","6f3c0913-e39f-4446-acdd-17db8aeb7baf","🔁"
"7fc0cb32-bd3a-49b1-8a87-75c20ac1de0b","Coffee Shop","f26d0b45-b769-4242-94cd-f6bda4de74bb","☕"
"df638637-452d-4604-be0a-bad7cd332af5","Food Delivery","f26d0b45-b769-4242-94cd-f6bda4de74bb","🛵"
"a362513e-58ca-41b6-a5c0-e1dbd202d504","Groceries","791BAE73-8D9F-4265-9849-1C453065C7E8","🛒"
"5fb792a9-0045-4639-a3c6-edc156ccc177","Cafés & Restaurants","f26d0b45-b769-4242-94cd-f6bda4de74bb","🍝"
"51eefe6d-d029-4504-99ac-1a6a0a98250e","Airfare","07e3e6e0-5edb-49fa-b1ed-39e097670cd9","✈️"
"8be1a941-6ab0-4c6c-bfdf-8974230318a9","Auto Lease Payment","7E9C7BF0-F0CA-4998-B92B-8F597B5BD15D","🚙"
"ae3cbcb0-0abd-4057-8b1c-f619acf2b81e","Auto Loan Repayment","7E9C7BF0-F0CA-4998-B92B-8F597B5BD15D","🚗"
"db438e54-47a2-447f-a73b-bbfc67a393f8","EV Charging","7E9C7BF0-F0CA-4998-B92B-8F597B5BD15D","🔌"
"a5686b19-a484-40d4-9f03-a7819a0e04ae","Fuel","7E9C7BF0-F0CA-4998-B92B-8F597B5BD15D","⛽"
"8a0f7f6c-c9b3-4de0-b397-ed5f89522c22","Parking","7E9C7BF0-F0CA-4998-B92B-8F597B5BD15D","🅿️"
"754afd10-c567-4791-bad8-41586dc5978a","Other Transport","7E9C7BF0-F0CA-4998-B92B-8F597B5BD15D","🚘"
"c6178482-0efa-44dd-8add-15dbb20a09df","Public Transport","7E9C7BF0-F0CA-4998-B92B-8F597B5BD15D","🚌"
"cfc18400-14ce-401b-8855-da267c201933","Taxis & Rideshare","7E9C7BF0-F0CA-4998-B92B-8F597B5BD15D","🚕"
"635f3b24-a889-40bc-aa47-0a67e6e2222a","Tolls","7E9C7BF0-F0CA-4998-B92B-8F597B5BD15D","🛣️"
"9e18b1ca-143c-4611-acc4-ab6f356b48af","Towing Charge","7E9C7BF0-F0CA-4998-B92B-8F597B5BD15D","🚛"
"791BAE73-8D9F-4265-9849-1C453065C7E8","Home","6b5e33e1-ec82-4573-92b0-fd5129c82dd4","🏠"
"cd4ec9b4-de20-496e-b01a-ef20eae4586d","Vehicle Maintenance","7E9C7BF0-F0CA-4998-B92B-8F597B5BD15D","🛠️"
"EFD8E440-E890-40C9-9B45-1764DFEEA2A2","Hair & Beauty","278ca9e3-5f84-4026-9d9f-e9187df234f7","💇"
"c58ed711-9e00-4fef-8451-0f21afa677fc","Furniture, homeware, & appliances","f6f7ff98-bb7e-460d-ae11-4a9f5a5659a4","🛋️"
"99a1bfad-d4c9-4858-a478-3baa3a937900","Rates & Insurance","6b5e33e1-ec82-4573-92b0-fd5129c82dd4","🛡️"
"ED3DDDB6-8B31-4E77-A337-056B6DD0032A","Banking","6b5e33e1-ec82-4573-92b0-fd5129c82dd4","🏦"
