"name","website_url","id","icon_url","address","latitude","longitude","category_id","parent_id","background_colour","colour","apple_place_id","google_place_id","mcc","transaction_text_regexp","transaction_text_examples"
"Fortnum & Mason","https://fortnumandmason.com","ae4ba8f7-5469-4a4d-bfe1-90b37100d401","fortnumandmason.com.png","","","","5fb792a9-0045-4639-a3c6-edc156ccc177","","","#6ac8ba","","","5311","(?i)^FORTNUM","[`FORTNUM & MASON         LONDON`, `FORTNUM AND MASON PLC   LONDON`]"
"GAIL's","https://gails.com","35fb235f-66d2-49e3-8176-4f8b4fd88812","gails.com.png","","","","5fb792a9-0045-4639-a3c6-edc156ccc177","","","#ce142c","","","5462","",""
"GAIL's - Blackfriars","https://gails.com/pages/blackfriars","acb65cef-4d55-4cf2-8fa5-cc73ac7119e9","","3 Blackfriars Road, London SE1 9JU","51.506912","-0.104342","","35fb235f-66d2-49e3-8176-4f8b4fd88812","","","IF32895E527E7B646","ChIJNaMI0hEFdkgRIu7CqYZym30","5462","(?i)^GAILS BLACKFRIARS","[`GAILS BLACKFRIARS, LONDON`]"
"GAIL's - The Cut","https://gails.com/pages/the-cut","7c1458cd-7618-45bd-9dd0-8d5fef653c42","","73 The Cut, London SE1 8LL, UK","51.50268060000001","-0.1081412","","35fb235f-66d2-49e3-8176-4f8b4fd88812","","","I755691E0CD14025","ChIJW_b_SmUFdkgRXdN_nSU2iiI","5462","(?i)^GAILS THE CUT","[`GAILS THE CUT, LONDON`, `GAILS THE CUT           LONDON`]"
"Gordon Ramsay Restaurants","https://gordonramsayrestaurants.com","144c67dc-62a1-4586-a2fe-38658ae7aa10","gordonramsayrestaurants.com.png","","","","5fb792a9-0045-4639-a3c6-edc156ccc177","","","","","","5812","(?i)(?:BREAD STREET KITCHEN|RIVER RESTAURANT BY GOR)","[`BREAD STREET KITCHEN ST LONDON`, `BREAD STREET KITCHEN ST PAULS`, `RIVER RESTAURANT BY GOR LONDON`]"
"Greggs","https://www.greggs.com","f18ae855-5db3-4bba-b4eb-1ca6bfe1e4ec","greggs.com.jpg","","","","4b6581ca-31d4-4fd2-b0fa-8525d5392cc7","","","","","","5462","(?i)^GREGGS\b","[`GREGGS MANCHESTER GBR`, `GREGGS PLC, LONG EATON GB`, `GREGGS GLASGOW GBR`, `GREGGS EDINBURGH GBR`, `GREGGS NEWCASTLE GBR`, `GREGGS PLC, LUTON`, `GREGGS LONDON GB`, `GREGGS PLC WORKINGTON`, `GREGGS LEEDS GBR`, `GREGGS BRISTOL GBR`, `GREGGS CARDIFF GBR`, `GREGGS THORNBURY GBR`, `GREGGS LIVERPOOL GBR`, `GREGGS BELFAST GBR`, `GREGGS PLC, LEEDS GB`, `GREGGS CLAPHAM JUNCT GBR`, `GREGGS PLC, BRIDGEND GB`, `GREGGS PLC, NEWPORT GB`, `GREGGS STRATFORD GBR`, `GREGGS PLC, STAPLEFORD GB`, `GREGGS EPSOM GBR`, `GREGGS NEWCASTLE UPO GBR`, `GREGGS, LONDON EARLS GB`, `GREGGS MIDDLESBROUGH GBR`, `GREGGS LEATHERHEAD GBR`, `GREGGS PLC, MANCHESTER GB`, `GREGGS, LONDON GB`, `GREGGS PLC LIVERPOOL GB`, `GREGGS BASINGSTOKE GBR`, `GREGGS PLC, MANCHESTER`]"
"Harrod's","https://harrods.com","41abfb3f-d56e-4394-931c-e54f6e619bab","harrods.com.png","","","","18c59161-4dfb-483f-8d77-16df3298c21b","","","","","","5311","(?i)^HARRODS","[`HARRODS LIMITED         LONDON`, `HARRODS LTD, GBP`, `HARRODS HEATHROW T5, AUD`]"
"Heathrow Express","https://heathrowexpress.com","03837ff9-db70-45fc-88fa-1b4f3354240d","heathrowexpress.com.png","","","","c6178482-0efa-44dd-8add-15dbb20a09df","","","","","","4111","(?i)HEATHROW ?EXPRE","[`WWW.HEATHROWEXPRES,07730147935`, `HEATHROW EXPRESS`, `HEATHROW EXPRESS HOUNSLOW GBR`, `HEATHROW EXPRESS, HOUNSLOW`, `HEATHROW EXPRESS TOM PADDINGTON GBR`, `HEATHROW EXPRESS HOUNSLOW GB`, `HEATHROW EXPRE, LONDON`, `HEATHROWEXPRESS.CO 07730147935 GBR`, `HEATHROW EXPRESS LONDON GB`, `HEATHROWEXPRESS.CO 07730147935, GB, HEATHROWEXPRESS.CO`, `HEATHROWEXPRES`, `HEATHROW EXPRESS TOM CE LONDON`, `HEATHROW EXPRESS TOD WE LONDON`, `HEATHROW EXPRESS T5 LUL LONDON`, `HEATHROW EXPRESS, 0845 6041515 GB`, `HEATHROW EXPRESS 0845 6041515`, `HEATHROW EXPRESS OPER`, `HEATHROWEXPRES, 07730147935`, `TICKETS.HEATHROWEXPRES HOUNSLOW GBR`]"
"Itsu","https://itsu.com","673691d3-9354-4a5e-a9af-41f74f5d7ef6","itsu.com.jpg","","","","5fb792a9-0045-4639-a3c6-edc156ccc177","","","#ffdc00","","","5814","",""
"Just Eat","https://www.just-eat.co.uk","b73f76a6-9c23-4d63-a4d3-10af2f26f323","just-eat.co.uk.jpg","","","","df638637-452d-4604-be0a-bad7cd332af5","","","","","","5812","(?i)(?:JUST ?-?EAT|TAKEAWAY\.JE)","[`JUST EAT`, `JUST EAT.CO.UK 0208 7362006`, `JUST EAT LONDON`, `JUST EAT, LONDON GREAT BRITAIN`, `JUST-EAT.CO.UK, 02067 362061 GB`, `JUST-EAT.CO.UK`, `JUST EAT.CO.UK LTD`, `JUST EAT.CO.UK, 0208 7362006 GREAT BRITAIN`, `JUST-EAT.CO.UK, 02067 362061`, `TAKEAWAY.JE`, `JUST-EAT.CO.UK JUST-EA`, `JUST-EAT.CO.UK 02067 362061 GB`, `JUST-EAT.CO.UK 02067 362061`, `JUST-EAT.CO.UK, 02067 362061 GREAT BRITAIN`, `IAP JUST EAT LONDON`, `JUST EAT SEGURO, MADRID`, `JUST EAT.CO.UK LONDON GB`, `JUST EAT, LONDON GB, REFUND`, `JUST EAT, LONDON, GBR`, `JUST EAT.CO.UK LONDON GBR`, `JUST EAT ALLORE PARIS 15 FRA`, `PAY JUST EAT.`, `JUST EAT, LONDON, GB`, `TAKEAWAY.JE LONDON GB`, `JUST EAT LONDON GB 0211`, `JUST EAT LONDON GB 1375`, `JUST EAT LONDON GB 2499`, `JUST EAT LONDON GB 6975`, `JUST EAT.CO.UK LTD LONDON GBR`]"
"Lidl","https://www.lidl.co.uk","82e41e46-42bc-41ea-82d7-b908256d3f88","lidl.co.uk.jpg","","","","a362513e-58ca-41b6-a5c0-e1dbd202d504","","","","","","5411","(?i)^LIDL\b","[`LIDL UK, LONDON`, `LIDL UK LONDON`, `LIDL UK LONDON LONDON GBR`, `LIDL UK, MANCHESTER`, `LIDL UK WORCESTER GB`, `LIDL UK NOTTINGHAM GBR`, `LIDL UK BRISTOL GBR`, `LIDL UK STOCKWELL GBR`, `LIDL UK LONDON 7 SIS`, `LIDL UK, SOUTHAMPTON GB`, `LIDL UK LEIWSHAM GBR`, `LIDL UK, READING GB`, `LIDL UK, EDINBURGH GB`, `LIDL UK CARDIFF GBR`, `LIDL UK NOTTINGHAM GB`, `LIDL UK STOCKTON ON T GBR`, `LIDL UK EDINBURGH`, `LIDL UK BALHAM GBR`, `LIDL UK, ROYTON GB`, `LIDL UK BIRMINGHAM GBR`, `LIDL - 1176, ALNWICK`, `LIDL UK, ABERDEEN GB`, `LIDL UK GLASGOW GBR`, `LIDL UK DUNDEE GBR`, `LIDL UK STOCKTON ON T GB`, `LIDL UK LONDON, LONDON`, `LIDL UK, ORPINGTON GB`, `LIDL UK PORTSMOUTH GBR`, `LIDL UK PORT GLASGOW GBR`, `LIDL UK HALTON GBR`]"
"Marks & Spencer","https://www.marksandspencer.com","63e1c02d-2cf2-4379-946c-54f62db28237","marksandspencer.com.jpg","","","","8c798ad6-8bea-4ba3-84fd-405332cf4750","","","","","","5311","(?i)^MARKS ?(?:&|AND) ?SPENCER","[`MARKS&SPENCER PLC SACA LONDON GBR`, `MARKS&SPENCER PLC SF BANKSIDE GBR`, `MARKS&SPENCER PLC SACA STRATFORD GBR`, `MARKS&SPENCER PLC SACA YORK GB`, `MARKS&SPENCER PLC FINSBURY GBR`, `MARKS & SPENCER - FINSB LONDON`, `MARKS & SPENCER PLC ST LONDON`, `MARKS & SPENCER - LEAMI LONDON`, `MARKS & SPENCER - DIREC SALFORD`, `MARKS AND SPENCER PLC, INTERNET GB`, `MARKS&SPENCER PLC NEW CHANGE GBR`, `MARKS & SPENCER - BISHO LONDON`, `MARKS & SPENCER - SOUTH LONDON`, `MARKS & SPENCER MILTON MILTON KEYNES`, `MARKS&SPENCER PLC INTERNET GBR`, `MARKS AND SPENCER PLC, SF, CHANCERY LANE GB`, `MARKS&SPENCER PLC LONDON GBR`, `MARKS & SPENCER PL`, `MARKS & SPENCER - STRAT LONDON`, `MARKS&SPENCER PLC COVENT GARDEN GBR`, `MARKS & SPENCER PLC LONDON`, `MARKS&SPENCER PLC HAMMERSMITH GBR`, `MARKS & SPENCER - HAMME LONDON`, `MARKS & SPENCER - CAMDE LONDON`, `MARKS AND SPENCER PLC, SF, COVENTRY GB`, `MARKS & SPENCER - KENSI LONDON`, `MARKS & SPENCER - BROML BROMLEY`, `MARKS & SPENCER -GREEN LONDON`, `MARKS & SPENCER - THE M LONDON`, `MARKS & SPENCER-NEW CHA LONDON`]"
"Morrisons","https://groceries.morrisons.com","354d3c00-9017-44b4-a05e-481034d75a93","groceries.morrisons.com.jpg","","","","a362513e-58ca-41b6-a5c0-e1dbd202d504","","","","","","5411","(?i)MORRISONS\b","[`W M MORRISONS DROITWICH GB`, `W M MORRISONS PLC STROOD 140 GBR`]"
