"name","website_url","id","icon_url","address","latitude","longitude","category_id","parent_id","background_colour","colour","apple_place_id","google_place_id","mcc","transaction_text_regexp","transaction_text_examples"
"Dymocks","https://dymocks.com.au","363fd9f2-b915-47a6-8102-ee2ed5777892","dymocks.com.au.jpg","","","","186d9b38-6124-4811-89d6-b4970700059a","","","#e41a37","","","5942","(?i)DYMOCKS","[`DYMOCKS`, `DYMOCKS PTY LTD TA DYMOCKS SYDNE`, `DYMOCKS BOOKS CANBERR,CANBERRA`, `DYMOCKS SYDNEY           SYDNEY`]"
"Dymocks - George St","https://www.dymocks.com.au/stores/Dymocks+Sydney","b65d4bf5-22bd-484d-834e-77210d388914","","424-430 George St, Sydney NSW 2000, Australia","-33.8697999","151.2070811","","363fd9f2-b915-47a6-8102-ee2ed5777892","","","I4FE0E6293F90C1AE","ChIJwZtEpz-uEmsR_KVgqT4EtLU","5942","(?i)^DYMOCKS PTY LTD TA DYMO SYDNEY","[`DYMOCKS PTY LTD TA DYMO SYDNEY`]"
"Early Edition","https://earlyedition.cafe","c8a771b6-5fab-472b-b0b3-c9010b22e262","earlyedition.cafe.png","2 Trevillian Quay, Kingston ACT 2604, Australia","-35.31206","149.1462347","5fb792a9-0045-4639-a3c6-edc156ccc177","","","","I6F339BF2E878C664","ChIJhzpGXjhNFmsRPeU1WNDBqBQ","5812","(?i)EARLY EDITION","[`SQ *EARLY EDITION        Kingston    AC`]"
"Eckersley's","https://www.eckersleys.com.au/craft","5e161d9b-c886-4ed3-8dfb-c0a5769e2a6f","eckersleys.com.au.jpg","","","","18c59161-4dfb-483f-8d77-16df3298c21b","","","","","","5970","(?i)ECKERSLEYS",""
"Eckersley's Art & Craft - Braddon","https://www.eckersleys.com.au/storelocator/braddon","6bee766d-bd29-473b-8066-f0590e3e3299","","Unit 43/38 Mort St, Braddon ACT 2612, Australia","-35.2729677","149.1318723","","5e161d9b-c886-4ed3-8dfb-c0a5769e2a6f","","","","","5970","(?i)^ECKERSLEYS PTY LIMITE, BRADDON","[`ECKERSLEYS PTY LIMITE, BRADDON`]"
"Eighty Twenty","https://www.eightytwentyfood.com.au","31638000-1895-42ab-84df-433888b3c25f","eightytwentyfood.com.au.png","","","","5fb792a9-0045-4639-a3c6-edc156ccc177","","","","","","5812","(?i)EIGHTYTWENTY",""
"Eighty Twenty - Mort St Express","https://www.eightytwentyfood.com.au/civic-cafe","452f0e91-6352-48c2-bfac-d708163d757c","","19 Mort St, Canberra ACT 2601, Australia","-35.2761595","149.1307097","","31638000-1895-42ab-84df-433888b3c25f","","","","ChIJ_R7r8nZNFmsRRCRRPS5r4p4","","(?i)EIGHTYTWENTY MORT","[`SQ *EIGHTYTWENTY MORT  Canberr`]"
"Endota Spa","https://endotaspa.com.au","3509fdcd-a59b-4941-8d2c-1b312b59f8db","endotaspa.com.au.png","","","","e404caaa-4e2b-42e1-84d5-a6bde0319e7f","","","#49A750","","","7298","(?i)(?:^ENDOTA SPA|^ENDOTA)","[`ENDOTA SPA`, `ENDOTA SPA SYDNEY       SYDNEY`, `ENDOTAAU123`, `ENDOTA AUSTRALIA        SYDNEY`]"
"Epula","https://www.epula.com.au","ce450a8a-1e96-4d16-9ffd-6d4a2d095983","epula.com.au.jpg","1 Martin Pl, Sydney NSW 2000, Australia","-33.8675563","151.2080687","5fb792a9-0045-4639-a3c6-edc156ccc177","","","","IE94B985A55909471","ChIJE42rp9avEmsRF63ml5I7_jw","5812","(?i)EPULA","[`LS EPULA                SYDNEY`]"
"EQ Cafe and Bakehouse","https://eqcafe.com.au","cfddeb81-de22-4c9d-9062-cb0e03f0235a","eqcafe.com.au.png","","","","5fb792a9-0045-4639-a3c6-edc156ccc177","","","","","","5812","(?i)EQ BAKEHOUSE",""
"EQ Cafe and Bakehouse - Civic","","862434a4-ab2d-4569-85a6-58525d3f931b","","G-4, 70 Northbourne Avenue, Braddon ACT 2601","-35.270292","149.130763","","cfddeb81-de22-4c9d-9062-cb0e03f0235a","","","","","5812","(?i)EQ BAKEHOUSE CC","[`EQ BAKEHOUSE CC`, `SQ *EQ BAKEHOUSE CC    Canberr`]"
"Event Cinemas Bondi Junction","https://eventcinemas.com.au","0063261f-c6a6-47e8-9a3e-09f202ac456f","eventcinemas.com.au.png","","","","24a9d23d-0dd0-43d6-ae4c-93213f80097b","","","","","","7832","(?i)(?:EVENT CINEMAS|EVENT BONDI ONLINE)","[`EVENT CINEMAS BONDI      BONDI JUNCTI`, `EVENT CINEMAS BONDI    BONDI J`, `EVENT CINEMAS GEORGE ST SYDNEY`, `EVENT BONDI ONLINE`]"
"Fitness First","https://www.fitnessfirst.com.au","03a112bd-1f4c-40af-b9c2-c1673753fc39","fitnessfirst.com.au.png","","","","b6b02d18-a6ab-4e82-be1b-132b62f8f1b9","","","","","","7997","(?i)^Fitness First","[`DBS*Fitness First,Civic Square`, `DBS*Fitness First Canb Civic S`]"
"Flatmate Finders","https://flatmatefinders.com.au","3a97a14e-8909-442e-bdd6-d04c528d1c89","flatmatefinders.com.au.png","","","","c9e1fc38-70b3-4517-82e2-a53bdea540d2","","","#24bdc5","","","6513","(?i)FLATMATE FINDERS","[`FLATMATE FINDERS         WATERLOO`]"
"Flour And Stone","https://flourandstone.com.au","da989ef0-1dd4-42b6-94a1-4fbe7da676c4","flourandstone.com.au.png","43 Riley St, Woolloomooloo NSW 2011, Australia","-33.8733196","151.2153187","5fb792a9-0045-4639-a3c6-edc156ccc177","","","","IB066F09BAB0EBF34","ChIJmxHxbxSuEmsRO46iD58uWdU","5462","(?i)^FLOUR (?:AND )?STONE","[`FLOUR AND STONE PANTRY  Woolloomooloo`, `FLOUR STONE`]"
"Fonda","https://fondamexican.com.au","00a6caab-f093-4854-9d14-0ee9aae0c354","fondamexican.com.au.jpg","Bunda Street, Canberra Australian Capital Territory, Australia","-35.29885","149.127306","5fb792a9-0045-4639-a3c6-edc156ccc177","","","#750035","","","5812","(?i)^FONDA (?:- )?CANBERRA","[`FONDA - CANBERRA         CREMORNE    VIC`, `FONDA - CANBERRA       CREMORN`, `FONDA CANBERRA          CREMORNE`]"
"Four Frogs Creperie","https://fourfrogs.com.au","04df7808-6cc7-45a3-8039-03ce85f52025","fourfrogs.com.au.png","","","","5fb792a9-0045-4639-a3c6-edc156ccc177","","","#ec0224","","","5812","",""
"Four Frogs Creperie - Lane Cove","https://fourfrogs.com.au","108683ed-f896-4b46-9879-55b1979543f8","","115 Longueville Rd, Lane Cove NSW 2066, Australia","-33.8143182","151.1695735","","04df7808-6cc7-45a3-8039-03ce85f52025","","","I78BD665E16EA8351","ChIJQwFBfcuvEmsRmsHcWmmjxsw","5812","(?i)FOUR FROGS CREPERIE","[`FOUR FROGS CREPERIE LAN LANE COVE`]"
"Franco Of Canberra","https://www.francoofcanberra.com.au/","c0fafe4d-2537-4a8f-9f23-a518932bc8d7","francoofcanberra.com.au.jpg","Sydney Bldg, 15 E Row, Canberra ACT 2601, Australia","-35.2792918","149.1302939","EFD8E440-E890-40C9-9B45-1764DFEEA2A2","","","#1abcb9","I32372B2C558B897F","ChIJKWP6PUJNFmsRVGMV-IPiwLw","5812","(?i)^FRANCO OF CANBERRA","[`Franco of Canberra       Canberra    ACT`, `FRANCO OF CANBERRA 1234 CANBERRA`, `Franco of Canberra, Canberra`]"
"Gelatissimo","https://www.gelatissimo.com.au/","5130ce62-4fe7-4842-9ac8-1660b6c0f3c5","gelatissimo.com.au.jpg","","","","5fb792a9-0045-4639-a3c6-edc156ccc177","","","#fb723e","","","5451","(?i)GELATISSIMO","[`GELATISSIMO`]"
"Gelatissimo - Circular Quay","https://www.gelatissimo.com.au/","90a3f596-891b-4fa4-a5a7-63042cddf0e0","","Circular Quay Esplanade, Alfred St, C2, Circular Quay NSW 2000","-33.860401","151.209595","","5130ce62-4fe7-4842-9ac8-1660b6c0f3c5","","","I48BF30D008EB24B1","ChIJ2e7g0mmuEmsRfjNbT779tcI","5451","(?i)Gelatissimo CQ","[`Gelatissimo CQ, Sydney`, `Gelatissimo Cq Sydney`]"
"Gelatissimo - Lane Cove","https://gelatissimo.com.au/","6be531a6-b2db-44ac-b634-2e852f7ac690","","32a Burns Bay Road, Shop 1, Lane Cove NSW 2066","-33.815071","151.168961","","5130ce62-4fe7-4842-9ac8-1660b6c0f3c5","","","I6E5223203D6188B9","ChIJAVNHmz6vEmsRs6RpSeKSlv0","5451","(?i)^GELATISSIMO LANE COVE","[`GELATISSIMO LANE COVE   LANE COVE`]"
